Algoritmo,heap_sort,merge_sort,radix_sort,selection_sort,insercion,bubble_sort,CocktailSort
100,0.000127,0.000101,0.000061,0.000145,0.000015,0.000011,0.000011
1000,0.001804,0.001080,0.000517,0.012799,0.000073,0.000037,0.000038
10000,0.018889,0.009853,0.006367,1.045991,0.000605,0.000284,0.000290
100000,0.219795,0.121268,0.081767,92.652858,0.005503,0.002949,0.003045
1000000,2.930300,1.362514,1.279912,12405.861346,0.101734,0.035550,0.037448
