Nombre:,Angel Isai Madrigal Altamirano
Método,100,1_000,10_000,100_000,1_000_000
Burbuja,0.0002562999725341797, 0.03347587585449219, 3.8811168670654297, 431.41837453842163,,X
Inserción,0.00012183189392089844, 0.015403985977172852, 1.6724328994750977, 191.05239939689636,X
Selección0.00020360946655273438,0.017100095748901367,1.9011571407318115,240.95897936820984,X
CocktailSort,0.0002384185791015625, 0.035208702087402344, 3.713770866394043, 433.7389748096466,X
Quicksort,9.989738464355469e-05, 0.0010492801666259766, 0.013369083404541016, 0.1865067481994629, 3.18681263923645
Merge sort,0.00016021728515625, 0.0012459754943847656, 0.018912076950073242, 0.24957537651062012, 3.212608814239502
Heap sort,0.00010728836059570312, 0.001821756362915039, 0.02431654930114746, 0.380084753036499, 6.293613910675049
Comb sort,,,,,X
Radix sort0.0001876354217529297, 0.0012276172637939453, 0.014382600784301758, 0.18015527725219727,X
Shell sort,,,,,
Random sort,,X,X,X,X
